Sales order #,Amount,Check #,Date
91063965,95.4,16163,3/4/2020
91061701,111.3,16163,3/4/2020
91069461,111.3,16163,3/4/2020
91064939,147.34,16163,3/4/2020
91062780,148.4,16163,3/4/2020
91063140,159,16163,3/4/2020
91069030,204.58,16163,3/4/2020
91066630,206.7,16163,3/4/2020
91069597,226.84,16163,3/4/2020
91064097,324.36,16163,3/4/2020
91066908,356.16,16163,3/4/2020
91060770,466.4,16163,3/4/2020
91069149,508.8,16163,3/4/2020
91059511,581.94,16163,3/4/2020
91063994,630.7,16163,3/4/2020
91060307,2001.28,16163,3/4/2020
