Sales order #,Amount,Check #,Date
90902176,22.79,13746,1/16/20
90937180,22.79,13746,1/16/20
90923319,22.79,13746,1/16/20
90902351,38.16,13746,1/16/20
90911646,48.76,13746,1/16/20
90931552,48.76,13746,1/16/20
90908617,64.66,13746,1/16/20
90911227,64.66,13746,1/16/20
90916631,64.66,13746,1/16/20
90944295,64.66,13746,1/16/20
90904905,71.02,13746,1/16/20
90894650,71.02,13746,1/16/20
90895325,94.34,13746,1/16/20
90895286,94.34,13746,1/16/20
90920726,94.34,13746,1/16/20
90925494,100.7,13746,1/16/20
90877073,111.3,13746,1/16/20
90881442,111.3,13746,1/16/20
90881362,111.3,13746,1/16/20
90910382,111.3,13746,1/16/20
90940569,111.3,13746,1/16/20
90902148,116.6,13746,1/16/20
90896622,127.2,13746,1/16/20
90904123,136.74,13746,1/16/20
90875896,143.1,13746,1/16/20
90895318,143.1,13746,1/16/20
90902710,143.1,13746,1/16/20
90909021,143.1,13746,1/16/20
90945584,147.34,13746,1/16/20
90925686,162.18,13746,1/16/20
90936038,180.2,13746,1/16/20
90928268,187.62,13746,1/16/20
90930194,190.8,13746,1/16/20
90892300,201.4,13746,1/16/20
90903810,201.4,13746,1/16/20
90931847,201.4,13746,1/16/20
90918161,204.58,13746,1/16/20
90918360,222.6,13746,1/16/20
90889523,233.2,13746,1/16/20
90901887,254.4,13746,1/16/20
90898238,254.4,13746,1/16/20
90891193,263.94,13746,1/16/20
90893389,280.9,13746,1/16/20
90877118,281.96,13746,1/16/20
90886072,294.68,13746,1/16/20
90924061,306.34,13746,1/16/20
90916010,316.94,13746,1/16/20
90901627,346.62,13746,1/16/20
90890487,445.2,13746,1/16/20
90892378,482.3,13746,1/16/20
90915073,482.3,13746,1/16/20
90892034,508.8,13746,1/16/20
90903558,508.8,13746,1/16/20
90921684,508.8,13746,1/16/20
90939649,534.24,13746,1/16/20
90923407,538.48,13746,1/16/20
90884939,556.5,13746,1/16/20
90918764,581.94,13746,1/16/20
90925182,604.2,13746,1/16/20
90927717,699.6,13746,1/16/20
90932243,884.04,13746,1/16/20
90922496,890.4,13746,1/16/20
90922138,947.64,13746,1/16/20
