Sales order #,Amount,Check #,Date
91011291,22.79,14969,2/12/2020
91015351,34.98,14969,2/12/2020
91004475,35.51,14969,2/12/2020
91014714,63.6,14969,2/12/2020
91009282,71.02,14969,2/12/2020
91009906,95.4,14969,2/12/2020
91005509,104.94,14969,2/12/2020
90997474,111.3,14969,2/12/2020
91008223,116.6,14969,2/12/2020
91005770,116.6,14969,2/12/2020
91016211,116.6,14969,2/12/2020
91010270,136.74,14969,2/12/2020
91017319,139.92,14969,2/12/2020
91001070,143.1,14969,2/12/2020
91019805,143.1,14969,2/12/2020
91002248,154.76,14969,2/12/2020
91012946,175.96,14969,2/12/2020
91019695,180.2,14969,2/12/2020
91000511,187.62,14969,2/12/2020
91010308,271.36,14969,2/12/2020
91006674,294.68,14969,2/12/2020
91010686,302.1,14969,2/12/2020
91009438,316.94,14969,2/12/2020
91018380,316.94,14969,2/12/2020
91007526,381.6,14969,2/12/2020
91002413,386.9,14969,2/12/2020
90996749,421.88,14969,2/12/2020
90996117,436.72,14969,2/12/2020
91000171,462.16,14969,2/12/2020
91015767,471.7,14969,2/12/2020
90999452,487.6,14969,2/12/2020
91009099,508.8,14969,2/12/2020
90997232,534.24,14969,2/12/2020
91002825,598.9,14969,2/12/2020
91012925,689,14969,2/12/2020
90997368,1282.6,14969,2/12/2020
