Sales order #,Amount,Check #,Date
281132961,1017.75,123311,5/18/2020
281293598-1,336.55,123311,5/18/2020
282130450,1447.8,123311,5/18/2020
282178665-1,480.06,123311,5/18/2020
282178665-1,400.05,123311,5/18/2020
282238587,1017.75,123311,5/18/2020
282245761,608.33,123311,5/18/2020
282399739-1,1017.75,123311,5/18/2020
282426391,425.45,123311,5/18/2020
282469872,1017.75,123311,5/18/2020
282501289-1,608.33,123311,5/18/2020
282548235,1017.75,123311,5/18/2020
282555539,1017.75,123311,5/18/2020
282558898-1,704.85,123311,5/18/2020
282666264-1,1017.75,123311,5/18/2020
282696458,679.45,123311,5/18/2020
282713510,853.44,123311,5/18/2020
282775877-1,632.46,123311,5/18/2020
282780747,1017.75,123311,5/18/2020
282792301,171.53,123311,5/18/2020
282810551,27.31,123311,5/18/2020
282839399,1017.75,123311,5/18/2020
282839850,316.23,123311,5/18/2020
282947414,426.72,123311,5/18/2020
282948176,45.72,123311,5/18/2020
282955086,425.45,123311,5/18/2020
282975952,45.72,123311,5/18/2020
282991298,685.8,123311,5/18/2020
282999281,100.33,123311,5/18/2020
283001033,62.23,123311,5/18/2020
283005207,171.45,123311,5/18/2020
283008257,105,123311,5/18/2020
283008685,76.2,123311,5/18/2020
283011162,184.15,123311,5/18/2020
283016954,304.8,123311,5/18/2020
283042872,45.72,123311,5/18/2020
283047872,480.06,123311,5/18/2020
283059072,367.03,123311,5/18/2020
283063734,17.72,123311,5/18/2020
283072486,14.61,123311,5/18/2020
283073104,42.55,123311,5/18/2020
283074764,85.1,123311,5/18/2020
283077034,41.91,123311,5/18/2020
283077337,252.73,123311,5/18/2020
283080529,704.85,123311,5/18/2020
283081229,506.73,123311,5/18/2020
283086807,495.3,123311,5/18/2020
283100434,1447.8,123311,5/18/2020
283104937,29.21,123311,5/18/2020
283108879,152.4,123311,5/18/2020
283109615,62.23,123311,5/18/2020
283123195,570.23,123311,5/18/2020
283130218,42.55,123311,5/18/2020
283134154,162.56,123311,5/18/2020
283134703,76.2,123311,5/18/2020
283150061,514.35,123311,5/18/2020
283150616,245.11,123311,5/18/2020
283153342,162.56,123311,5/18/2020
283155822,425.45,123311,5/18/2020
283166647,533.4,123311,5/18/2020
283170061,480.06,123311,5/18/2020
283177887,1174.75,123311,5/18/2020
283185041,171.45,123311,5/18/2020
283185459,171.45,123311,5/18/2020
283190153,245.11,123311,5/18/2020
283193411,538.48,123311,5/18/2020
283196826,425.45,123311,5/18/2020
283202644,1496.06,123311,5/18/2020
283210829,113.03,123311,5/18/2020
283234092,162.56,123311,5/18/2020
283235822,190.5,123311,5/18/2020
283259860,162.56,123311,5/18/2020
283268969,271.78,123311,5/18/2020
283269333,62.23,123311,5/18/2020
283271978,171.45,123311,5/18/2020
283272353,683.26,123311,5/18/2020
283272353,251.46,123311,5/18/2020
283275604-1,633.73,123311,5/18/2020
283288039,171.53,123311,5/18/2020
283294100,167.64,123311,5/18/2020
283296975,29.21,123311,5/18/2020
283316012-1,328.93,123311,5/18/2020
283317878,146.05,123311,5/18/2020
283327822,190.5,123311,5/18/2020
283328356,171.45,123311,5/18/2020
283331277,171.45,123311,5/18/2020
283334026,171.45,123311,5/18/2020
283335937,603.25,123311,5/18/2020
283336353,45.72,123311,5/18/2020
283340854,252.73,123311,5/18/2020
283340956,152.4,123311,5/18/2020
283348579,85.1,123311,5/18/2020
283360962,129.54,123311,5/18/2020
283364678,41.91,123311,5/18/2020
283367489,543.56,123311,5/18/2020
283376375,425.45,123311,5/18/2020
283381226,111.76,123311,5/18/2020
283386169,271.78,123311,5/18/2020
283388917,1017.75,123311,5/18/2020
283390013,146.05,123311,5/18/2020
283401974,171.45,123311,5/18/2020
283404697,85.1,123311,5/18/2020
283413045,210,123311,5/18/2020
283426461,290.83,123311,5/18/2020
283427712,190,123311,5/18/2020
283434110,247.65,123311,5/18/2020
283442450,807.72,123311,5/18/2020
283443137,469.9,123311,5/18/2020
283456202,162.56,123311,5/18/2020
283458122,171.45,123311,5/18/2020
283463835,227.33,123311,5/18/2020
283470262-1,1141.73,123311,5/18/2020
283473021,480.06,123311,5/18/2020
283473558,240.03,123311,5/18/2020
283479265,27.31,123311,5/18/2020
283479299,430.53,123311,5/18/2020
283486136,171.53,123311,5/18/2020
283491630,171.45,123311,5/18/2020
283495823,95.25,123311,5/18/2020
283509167,101.6,123311,5/18/2020
283509627,241.3,123311,5/18/2020
283512616,45.72,123311,5/18/2020
283514106,245.11,123311,5/18/2020
283522326,38.1,123311,5/18/2020
283525572,29.21,123311,5/18/2020
283526240,66.04,123311,5/18/2020
283527327,162.56,123311,5/18/2020
283533962,162.56,123311,5/18/2020
283537818,640.08,123311,5/18/2020
283538242,171.45,123311,5/18/2020
283540158,113.03,123311,5/18/2020
283545343,171.45,123311,5/18/2020
283547069,171.45,123311,5/18/2020
283547774,245.11,123311,5/18/2020
283562746,81.28,123311,5/18/2020
283563049,152.4,123311,5/18/2020
283575534,190,123311,5/18/2020
283577251,176.53,123311,5/18/2020
283602625,152.4,123311,5/18/2020
283604791,304.8,123311,5/18/2020
283616910,176.53,123311,5/18/2020
283620783,42.55,123311,5/18/2020
283622980,113.03,123311,5/18/2020
283623548,425.45,123311,5/18/2020
283631406,190,123311,5/18/2020
283637230,171.45,123311,5/18/2020
283637230,581.66,123311,5/18/2020
283638817,81.28,123311,5/18/2020
283646918,171.53,123311,5/18/2020
283647868,27.31,123311,5/18/2020
283650129,27.31,123311,5/18/2020
283656788,62.23,123311,5/18/2020
283659818,171.45,123311,5/18/2020
283660242,171.45,123311,5/18/2020
283665273,81.28,123311,5/18/2020
283665617,220.98,123311,5/18/2020
283673532,83.82,123311,5/18/2020
283676057,113.03,123311,5/18/2020
283679212,819.15,123311,5/18/2020
283681470,120.65,123311,5/18/2020
283700774,815.34,123311,5/18/2020
283708025,245.11,123311,5/18/2020
283713017,245.11,123311,5/18/2020
283714321,78.74,123311,5/18/2020
283723714,41.91,123311,5/18/2020
283728290,81.28,123311,5/18/2020
283730250,171.45,123311,5/18/2020
283733363,203.2,123311,5/18/2020
283744281,62.23,123311,5/18/2020
283749176,113.03,123311,5/18/2020
283767927,53.98,123311,5/18/2020
283770278,162.56,123311,5/18/2020
283775803,151.13,123311,5/18/2020
283776624,125.73,123311,5/18/2020
283787099,425.45,123311,5/18/2020
283791616,54.62,123311,5/18/2020
283796744,184.15,123311,5/18/2020
283798508,245.11,123311,5/18/2020
283801953,190.5,123311,5/18/2020
283804415,190.5,123311,5/18/2020
283809035,171.45,123311,5/18/2020
283809304,96.52,123311,5/18/2020
283813498,151.13,123311,5/18/2020
283813498,328.93,123311,5/18/2020
283814518-1,698.5,123311,5/18/2020
283820015,29.21,123311,5/18/2020
283822907,81.28,123311,5/18/2020
283825542,64,123311,5/18/2020
283831276,171.45,123311,5/18/2020
283834304,58.42,123311,5/18/2020
283837834,125.73,123311,5/18/2020
283838120,162.56,123311,5/18/2020
283839778,62.23,123311,5/18/2020
283851709,176.53,123311,5/18/2020
283851882,176.53,123311,5/18/2020
283857330,815.34,123311,5/18/2020
283868020,124.46,123311,5/18/2020
283881901,171.45,123311,5/18/2020
283885538,190.5,123311,5/18/2020
283891426,124.46,123311,5/18/2020
283896117,290.83,123311,5/18/2020
283904350,190.5,123311,5/18/2020
283905598,113.03,123311,5/18/2020
283912934,66.04,123311,5/18/2020
283913338,139.7,123311,5/18/2020
283913469,184.15,123311,5/18/2020
283922342,151.13,123311,5/18/2020
283922663,125.73,123311,5/18/2020
283930863,190,123311,5/18/2020
283932724,304.8,123311,5/18/2020
283945960,215,123311,5/18/2020
283946594,99.06,123311,5/18/2020
283947282,125.73,123311,5/18/2020
283949731,227.33,123311,5/18/2020
283950785,420,123311,5/18/2020
283958005,82.55,123311,5/18/2020
283960042,857.65,123311,5/18/2020
283962396,58.42,123311,5/18/2020
283965299,62.23,123311,5/18/2020
283970294,62.23,123311,5/18/2020
283976251,171.45,123311,5/18/2020
283979720,621.03,123311,5/18/2020
283992832,190,123311,5/18/2020
283992832,184.15,123311,5/18/2020
284000316,146.05,123311,5/18/2020
284009273,185.42,123311,5/18/2020
284009725,185.42,123311,5/18/2020
284009927,171.45,123311,5/18/2020
284010029,125.73,123311,5/18/2020
284010712,162.56,123311,5/18/2020
284012653-1,53.98,123311,5/18/2020
284013097,62.23,123311,5/18/2020
284018482,45.72,123311,5/18/2020
284022124,171.45,123311,5/18/2020
284032153,113.03,123311,5/18/2020
284037116,113.03,123311,5/18/2020
284041518,243.84,123311,5/18/2020
284041658,152.4,123311,5/18/2020
284050446,62.23,123311,5/18/2020
284067227,162.56,123311,5/18/2020
284070921,245.11,123311,5/18/2020
284085223,252.73,123311,5/18/2020
284093756,96.52,123311,5/18/2020
284096423,236.22,123311,5/18/2020
284110059,29.21,123311,5/18/2020
284112621-1,506.73,123311,5/18/2020
284115753,133.35,123311,5/18/2020
284121829,162.56,123311,5/18/2020
284123235,42.55,123311,5/18/2020
284125853,27.31,123311,5/18/2020
284134252,686.12,123311,5/18/2020
284134686,83.82,123311,5/18/2020
284136402,176.53,123311,5/18/2020
284154391,203.2,123311,5/18/2020
284162913,807.72,123311,5/18/2020
284176025,162.56,123311,5/18/2020
284177051,42.55,123311,5/18/2020
284184174,58.42,123311,5/18/2020
284189595,62.23,123311,5/18/2020
284189621,425.45,123311,5/18/2020
284205054,426.72,123311,5/18/2020
284208701,27.31,123311,5/18/2020
284209745,292.1,123311,5/18/2020
284211043,67.31,123311,5/18/2020
284217767,41.91,123311,5/18/2020
284223654,139.7,123311,5/18/2020
284233028,62.23,123311,5/18/2020
284236014,127.65,123311,5/18/2020
284258595,42.55,123311,5/18/2020
284261127,271.78,123311,5/18/2020
284265348-1,704.85,123311,5/18/2020
284269729,133.35,123311,5/18/2020
284270324,91.44,123311,5/18/2020
284281670,960.12,123311,5/18/2020
284288253,133.35,123311,5/18/2020
284319433,336.55,123311,5/18/2020
284327828,342.9,123311,5/18/2020
284334484,73,123311,5/18/2020
284337932,683.26,123311,5/18/2020
284360487,85.1,123311,5/18/2020
284364041,171.45,123311,5/18/2020
284384859,706.12,123311,5/18/2020
284389129,41.91,123311,5/18/2020
284389496,76.2,123311,5/18/2020
284391281,62.23,123311,5/18/2020
284394156,686.12,123311,5/18/2020
284419720,245.11,123311,5/18/2020
284420483,426.72,123311,5/18/2020
284421160,190,123311,5/18/2020
284422692,66.04,123311,5/18/2020
284431637,100.33,123311,5/18/2020
284433087,241.3,123311,5/18/2020
284439280,113.03,123311,5/18/2020
284442496,176.53,123311,5/18/2020
284446024,594.36,123311,5/18/2020
284446736,339.09,123311,5/18/2020
284446736,252.73,123311,5/18/2020
284457890,185.42,123311,5/18/2020
284470294,269.24,123311,5/18/2020
284475924,168.91,123311,5/18/2020
284479833,162.56,123311,5/18/2020
284490255,53.98,123311,5/18/2020
284500109,62.23,123311,5/18/2020
284501929,265,123311,5/18/2020
284505289,302.26,123311,5/18/2020
284516012,113.03,123311,5/18/2020
284516116,66.04,123311,5/18/2020
284520285,62.23,123311,5/18/2020
284528464,252.73,123311,5/18/2020
284529012,76.2,123311,5/18/2020
284530173,83.82,123311,5/18/2020
284531510,85.1,123311,5/18/2020
284553994,480.06,123311,5/18/2020
284562167,62.23,123311,5/18/2020
284572168,88.9,123311,5/18/2020
284579437,482.6,123311,5/18/2020
284593976,795.02,123311,5/18/2020
284610711,176.53,123311,5/18/2020
284611982,203.2,123311,5/18/2020
284624115,124.46,123311,5/18/2020
284627944,245.11,123311,5/18/2020
284635523,27.31,123311,5/18/2020
284636138,41.91,123311,5/18/2020
284640252,42.55,123311,5/18/2020
284645795,139.7,123311,5/18/2020
284655299,298.45,123311,5/18/2020
284670589,41.91,123311,5/18/2020
284674558,82.55,123311,5/18/2020
284682170,41.91,123311,5/18/2020
284685207,176.53,123311,5/18/2020
284693090,171.53,123311,5/18/2020
284693789,146.05,123311,5/18/2020
