Sales order #,Amount,Check #,Date
284697502,252.73,123311,5/18/2020
284699521,100.33,123311,5/18/2020
284703874,42.55,123311,5/18/2020
284722587,171.45,123311,5/18/2020
284724481,176.53,123311,5/18/2020
284741812,139.7,123311,5/18/2020
284743102,105,123311,5/18/2020
284743653,113.03,123311,5/18/2020
284747808,29.21,123311,5/18/2020
284751309,328.93,123311,5/18/2020
284757711,133.35,123311,5/18/2020
284778962,62.23,123311,5/18/2020
284786275-1,632.46,123311,5/18/2020
284796084,570.23,123311,5/18/2020
284797526,113.03,123311,5/18/2020
284800151,41.91,123311,5/18/2020
284813180,224.79,123311,5/18/2020
284816937,124.46,123311,5/18/2020
284825164,171.45,123311,5/18/2020
284835154,27.31,123311,5/18/2020
284839830,29.21,123311,5/18/2020
284844109,133.35,123311,5/18/2020
284855521,113.03,123311,5/18/2020
284856042,45.72,123311,5/18/2020
284857218,62.23,123311,5/18/2020
284858646,245.11,123311,5/18/2020
284860415,190,123311,5/18/2020
284873941,42.55,123311,5/18/2020
284877690,62.23,123311,5/18/2020
284879744,124.46,123311,5/18/2020
284880147,343.06,123311,5/18/2020
284882435,176.53,123311,5/18/2020
284890508,177.8,123311,5/18/2020
284892378,52,123311,5/18/2020
284892567,190.5,123311,5/18/2020
284905634,171.45,123311,5/18/2020
284913082,171.45,123311,5/18/2020
284917706,1765.3,123311,5/18/2020
284922882,29.21,123311,5/18/2020
284928219,139.7,123311,5/18/2020
284930246,29.21,123311,5/18/2020
284931528,138.43,123311,5/18/2020
284936341,171.45,123311,5/18/2020
284962532,241.3,123311,5/18/2020
284964152,209.55,123311,5/18/2020
284978850,171.45,123311,5/18/2020
284979072,171.45,123311,5/18/2020
284992387,62.23,123311,5/18/2020
285004479,190.5,123311,5/18/2020
285005127,203.2,123311,5/18/2020
285013295,506.73,123311,5/18/2020
285015099,62.23,123311,5/18/2020
285040757,596.9,123311,5/18/2020
285040757,113.03,123311,5/18/2020
285040757,82.55,123311,5/18/2020
285052421,633.73,123311,5/18/2020
285053822,285.75,123311,5/18/2020
285054517,113.03,123311,5/18/2020
285057648,190,123311,5/18/2020
285061673,76.2,123311,5/18/2020
285062260,406.4,123311,5/18/2020
285066811,62.23,123311,5/18/2020
285072620,146.05,123311,5/18/2020
285074380,171.45,123311,5/18/2020
285082582,73.66,123311,5/18/2020
285083644,120.65,123311,5/18/2020
285092739,236.22,123311,5/18/2020
285094896,176.53,123311,5/18/2020
285095206,176.53,123311,5/18/2020
285100179,83.82,123311,5/18/2020
285105723,113.03,123311,5/18/2020
285108650,251.46,123311,5/18/2020
285128286,99.06,123311,5/18/2020
285130235,62.23,123311,5/18/2020
285141131,482.6,123311,5/18/2020
285146143,62.23,123311,5/18/2020
285148031,151.13,123311,5/18/2020
285152879,88.9,123311,5/18/2020
285155358,62.23,123311,5/18/2020
285159074,139.7,123311,5/18/2020
285163076,42.55,123311,5/18/2020
285167854,113.03,123311,5/18/2020
285168242,113.03,123311,5/18/2020
285173947,176.53,123311,5/18/2020
285176590,82.55,123311,5/18/2020
285181843,425.45,123311,5/18/2020
285183738,29.21,123311,5/18/2020
285185825,171.45,123311,5/18/2020
285205154,480.06,123311,5/18/2020
285208275,176.53,123311,5/18/2020
285210135,236.22,123311,5/18/2020
285215981,88.9,123311,5/18/2020
285216164,146.05,123311,5/18/2020
285221612,52,123311,5/18/2020
285222110,271.78,123311,5/18/2020
285229242,406.4,123311,5/18/2020
285239801,403.86,123311,5/18/2020
285245147,66.04,123311,5/18/2020
285250103,76.2,123311,5/18/2020
285257709,538.48,123311,5/18/2020
285257839,76.2,123311,5/18/2020
285265058,113.03,123311,5/18/2020
285265058,252.73,123311,5/18/2020
285273650,41.91,123311,5/18/2020
285275487,538.48,123311,5/18/2020
285278542,124.46,123311,5/18/2020
285283633,45.72,123311,5/18/2020
285290154,990.6,123311,5/18/2020
285294941,113.03,123311,5/18/2020
285294955,14.61,123311,5/18/2020
285297200,62.23,123311,5/18/2020
285301636,120.65,123311,5/18/2020
285326088,88.9,123311,5/18/2020
285333359,279.4,123311,5/18/2020
285346517,42.55,123311,5/18/2020
285352210,425.45,123311,5/18/2020
285355618,113.03,123311,5/18/2020
285358504,190.5,123311,5/18/2020
285364089,315,123311,5/18/2020
285364089,190,123311,5/18/2020
285368775,190,123311,5/18/2020
285371974,85.1,123311,5/18/2020
285373159,62.23,123311,5/18/2020
285374629,266.7,123311,5/18/2020
285374629,82.55,123311,5/18/2020
285376649,45.72,123311,5/18/2020
285376950,106.68,123311,5/18/2020
285380253,184.15,123311,5/18/2020
285380924,190.5,123311,5/18/2020
285390022,176.53,123311,5/18/2020
285421754,139.7,123311,5/18/2020
285426587,113.03,123311,5/18/2020
285456567,193.04,123311,5/18/2020
285463043,82.55,123311,5/18/2020
285468733,425.45,123311,5/18/2020
285482779,171.53,123311,5/18/2020
285483055,171.53,123311,5/18/2020
285483783,176.53,123311,5/18/2020
285484786,165.1,123311,5/18/2020
285486486,176.53,123311,5/18/2020
285492198,236.22,123311,5/18/2020
285495528,171.45,123311,5/18/2020
285499314,1029.18,123311,5/18/2020
285500444,736.6,123311,5/18/2020
285500444,378.46,123311,5/18/2020
285505159,290.83,123311,5/18/2020
285506137,138.43,123311,5/18/2020
285510712,171.45,123311,5/18/2020
285518397,41.91,123311,5/18/2020
285522691,171.45,123311,5/18/2020
285523997,45.72,123311,5/18/2020
285536195,146.05,123311,5/18/2020
285541388,171.45,123311,5/18/2020
285541635,62.23,123311,5/18/2020
285545904,248.92,123311,5/18/2020
285546781,139.7,123311,5/18/2020
285555652,171.45,123311,5/18/2020
285562451,171.45,123311,5/18/2020
285567561,151.13,123311,5/18/2020
285571171,62.23,123311,5/18/2020
285576442,279.4,123311,5/18/2020
285581036,62.23,123311,5/18/2020
285587539,27.31,123311,5/18/2020
285624463,171.45,123311,5/18/2020
285632400,720.09,123311,5/18/2020
285636103,82.55,123311,5/18/2020
285638042,45.72,123311,5/18/2020
285644648,151.13,123311,5/18/2020
285649806,628.65,123311,5/18/2020
285653414,171.45,123311,5/18/2020
285666375,45.72,123311,5/18/2020
285670574,83.82,123311,5/18/2020
285674180,298.45,123311,5/18/2020
285674858,41.91,123311,5/18/2020
285683279,139.7,123311,5/18/2020
285688458,425.45,123311,5/18/2020
285701819,171.45,123311,5/18/2020
285704865,62.23,123311,5/18/2020
285707111,426.72,123311,5/18/2020
285710199,240.03,123311,5/18/2020
285717583,171.53,123311,5/18/2020
285720124,640.08,123311,5/18/2020
285727394,171.45,123311,5/18/2020
285734505,184.15,123311,5/18/2020
285736207,45.72,123311,5/18/2020
285744434,91.44,123311,5/18/2020
285750547,45.72,123311,5/18/2020
285751215,25.4,123311,5/18/2020
285759708,88.9,123311,5/18/2020
285763632,78.74,123311,5/18/2020
285774023,171.45,123311,5/18/2020
285792531,27.31,123311,5/18/2020
285795679,133.35,123311,5/18/2020
285801573,472.44,123311,5/18/2020
285803315,472.44,123311,5/18/2020
285804108,83.82,123311,5/18/2020
285806962,657.86,123311,5/18/2020
285812379,171.45,123311,5/18/2020
285828642,168.91,123311,5/18/2020
285845505,679.45,123311,5/18/2020
285847881,425.45,123311,5/18/2020
285860772,110.49,123311,5/18/2020
285863470,171.45,123311,5/18/2020
285867608,27.31,123311,5/18/2020
285870365,45.72,123311,5/18/2020
285876954,41.91,123311,5/18/2020
285879549,17.72,123311,5/18/2020
285886261,1409.7,123311,5/18/2020
285888698,63.5,123311,5/18/2020
285914978,171.45,123311,5/18/2020
285919176,214.63,123311,5/18/2020
285922017,176.53,123311,5/18/2020
285935680,171.45,123311,5/18/2020
285943691,53.98,123311,5/18/2020
285944370,133.35,123311,5/18/2020
285952525,42.55,123311,5/18/2020
285954395,67.31,123311,5/18/2020
285960902,657.86,123311,5/18/2020
285962039,190,123311,5/18/2020
285964669,45.72,123311,5/18/2020
285983160,226.06,123311,5/18/2020
285988578,143.51,123311,5/18/2020
286008540,454.66,123311,5/18/2020
286019978,85.1,123311,5/18/2020
286027980,29.21,123311,5/18/2020
286044091,190.5,123311,5/18/2020
286061066,143.51,123311,5/18/2020
286066991,120.65,123311,5/18/2020
286075827,215.9,123311,5/18/2020
286077884,190.5,123311,5/18/2020
286085651,66.04,123311,5/18/2020
286086003,171.53,123311,5/18/2020
286090629,76.2,123311,5/18/2020
286095654,472.44,123311,5/18/2020
286096279,633.73,123311,5/18/2020
286101594,279.4,123311,5/18/2020
286106909,271.78,123311,5/18/2020
286132002,113.03,123311,5/18/2020
286140861,29.21,123311,5/18/2020
286146294,271.78,123311,5/18/2020
286150523,245.11,123311,5/18/2020
286153950,45.72,123311,5/18/2020
286154112,113.03,123311,5/18/2020
286155044,171.45,123311,5/18/2020
286165740,162.56,123311,5/18/2020
286166558,29.21,123311,5/18/2020
286167286,45.72,123311,5/18/2020
286170024,84,123311,5/18/2020
286186120,62.23,123311,5/18/2020
286190674,113.03,123311,5/18/2020
286195502,95,123311,5/18/2020
286201857,29.21,123311,5/18/2020
286207121,74.93,123311,5/18/2020
286207315,571.5,123311,5/18/2020
286210685,218.44,123311,5/18/2020
286214557,62.23,123311,5/18/2020
286215893,29.21,123311,5/18/2020
286234133,236.22,123311,5/18/2020
286235215,353.06,123311,5/18/2020
286239554,1059.18,123311,5/18/2020
286248864,54.62,123311,5/18/2020
286251374,298.45,123311,5/18/2020
286258729,190.5,123311,5/18/2020
286287787,171.45,123311,5/18/2020
286295562,45.72,123311,5/18/2020
286300311,29.21,123311,5/18/2020
286305605,162.56,123311,5/18/2020
286307879,240.03,123311,5/18/2020
286328905,271.78,123311,5/18/2020
286329257,271.78,123311,5/18/2020
286331607,62.23,123311,5/18/2020
286347519,190.5,123311,5/18/2020
286351836,784.86,123311,5/18/2020
286354991,45.72,123311,5/18/2020
286359424,45.72,123311,5/18/2020
286367158,245.11,123311,5/18/2020
286375089,177.8,123311,5/18/2020
286399660,66.04,123311,5/18/2020
286405234,41.91,123311,5/18/2020
286407538,45.72,123311,5/18/2020
286412588,27.94,123311,5/18/2020
286415125,425.45,123311,5/18/2020
286423972,104,123311,5/18/2020
286424682,45.72,123311,5/18/2020
286427619,133.35,123311,5/18/2020
286436193,113.03,123311,5/18/2020
286447832,113.03,123311,5/18/2020
286462530,120.65,123311,5/18/2020
286463200,82.55,123311,5/18/2020
286463365,241.3,123311,5/18/2020
286466996,105,123311,5/18/2020
286475222,45.72,123311,5/18/2020
286513616,171.45,123311,5/18/2020
286535707,44.45,123311,5/18/2020
286539659,151.13,123311,5/18/2020
286566849,226.06,123311,5/18/2020
286579978,190,123311,5/18/2020
286584966,45.72,123311,5/18/2020
286601817,171.53,123311,5/18/2020
286608610,278.13,123311,5/18/2020
286610123,190,123311,5/18/2020
286610897,227.33,123311,5/18/2020
286626194,133.35,123311,5/18/2020
286643254,171.45,123311,5/18/2020
286657317,177.8,123311,5/18/2020
286662143,328.93,123311,5/18/2020
286672380,147.32,123311,5/18/2020
