Sales order #,Amount,Check #,Date
91052801,22.79,15870,2/26/2020
91042950,33.92,15870,2/26/2020
91052154,38.16,15870,2/26/2020
91041246,64.66,15870,2/26/2020
91054486,71.02,15870,2/26/2020
91050932,83.74,15870,2/26/2020
91041319,95.4,15870,2/26/2020
91038084,95.4,15870,2/26/2020
91055363,95.4,15870,2/26/2020
91055110,103.88,15870,2/26/2020
91042869,111.3,15870,2/26/2020
91040334,121.9,15870,2/26/2020
91048855,147.34,15870,2/26/2020
91043166,159,15870,2/26/2020
91045091,159,15870,2/26/2020
91049801,159,15870,2/26/2020
91050347,201.4,15870,2/26/2020
91049804,222.6,15870,2/26/2020
91042392,242.74,15870,2/26/2020
91044146,252.28,15870,2/26/2020
91046895,271.36,15870,2/26/2020
91049378,280.9,15870,2/26/2020
91059706,296.8,15870,2/26/2020
91047918,333.9,15870,2/26/2020
91046061,402.8,15870,2/26/2020
91049019,450.5,15870,2/26/2020
91056937,508.8,15870,2/26/2020
91048749,528.94,15870,2/26/2020
91045288,556.5,15870,2/26/2020
91050036,604.2,15870,2/26/2020
91050560,625.4,15870,2/26/2020
91048224,747.3,15870,2/26/2020
91049034,901,15870,2/26/2020
91046761,2001.28,15870,2/26/2020
