Sales order #,Amount,Check #,Date
91026286,22.79,15341,2/19/2020
91033865,64.66,15341,2/19/2020
91033299,77.38,15341,2/19/2020
91042821,94.34,15341,2/19/2020
91021546,111.3,15341,2/19/2020
91026790,111.3,15341,2/19/2020
91037451,111.3,15341,2/19/2020
91040062,116.6,15341,2/19/2020
91030306,136.74,15341,2/19/2020
91023529,143.1,15341,2/19/2020
91036186,147.34,15341,2/19/2020
91030663,168.54,15341,2/19/2020
91036811,201.4,15341,2/19/2020
91030392,254.4,15341,2/19/2020
91043464,254.4,15341,2/19/2020
91030964,315.88,15341,2/19/2020
91040496,339.2,15341,2/19/2020
91022960,466.4,15341,2/19/2020
91027048,508.8,15341,2/19/2020
91030632,508.8,15341,2/19/2020
91033385,508.8,15341,2/19/2020
91037610,572.4,15341,2/19/2020
