Sales order #,Amount,Check #,Date
91332394,24.38,19704,6/3/2020
91338978,24.38,19704,6/3/2020
91327485,34.98,19704,6/3/2020
91329583,34.98,19704,6/3/2020
91323804,35.51,19704,6/3/2020
91354162,35.51,19704,6/3/2020
91359235,35.51,19704,6/3/2020
91352541,35.51,19704,6/3/2020
91339183,38.16,19704,6/3/2020
91324624,48.76,19704,6/3/2020
91345486,53,19704,6/3/2020
91356068,57.24,19704,6/3/2020
91362347,64.66,19704,6/3/2020
91359038,69.96,19704,6/3/2020
91320009,73.14,19704,6/3/2020
91329996,95,19704,6/3/2020
91232655,124.02,19704,6/3/2020
91331479,143.1,19704,6/3/2020
91352997,143.1,19704,6/3/2020
91362872,185.5,19704,6/3/2020
91321809,242.74,19704,6/3/2020
91369801,572.4,19704,6/3/2020
91323660,581.94,19704,6/3/2020
91339680,744.12,19704,6/3/2020
